Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request Hour,Request Day of Week,Trip Duration (minutes)
2847,Airport,4,Trip completed,2016-07-13 05:34:20,2016-07-13 06:09:59,5,Wednesday,35.65
3722,Airport,4,Trip completed,2016-07-13 19:57:59,2016-07-13 20:32:04,19,Wednesday,34.083333333333336
4075,City,4,Trip completed,2016-07-14 02:17:35,2016-07-14 03:21:38,2,Thursday,64.05
4686,City,4,Trip completed,2016-07-14 13:01:10,2016-07-14 13:45:28,13,Thursday,44.3
5771,Airport,4,Trip completed,2016-07-15 08:30:06,2016-07-15 09:37:20,8,Friday,67.23333333333333
6106,Airport,4,Trip completed,2016-07-15 15:01:20,2016-07-15 15:47:31,15,Friday,46.18333333333333
312,City,5,Trip completed,2016-07-11 07:27:00,2016-07-11 08:31:00,7,Monday,64.0
577,Airport,5,Trip completed,2016-07-11 11:03:00,2016-07-11 12:01:00,11,Monday,58.0
1179,City,5,Trip completed,2016-07-11 20:58:00,2016-07-11 21:45:00,20,Monday,47.0
1756,Airport,5,Trip completed,2016-07-12 08:40:00,2016-07-12 09:23:00,8,Tuesday,43.0
2052,City,5,Trip completed,2016-07-12 14:48:00,2016-07-12 15:50:00,14,Tuesday,62.0
2559,City,5,Trip completed,2016-07-12 21:32:00,2016-07-12 22:29:00,21,Tuesday,57.0
3014,City,5,Trip completed,2016-07-13 07:28:14,2016-07-13 08:29:47,7,Wednesday,61.55
3317,City,5,Trip completed,2016-07-13 12:14:27,2016-07-13 12:46:38,12,Wednesday,32.18333333333333
4297,City,5,Trip completed,2016-07-14 06:43:01,2016-07-14 07:49:38,6,Thursday,66.61666666666666
5857,Airport,5,Trip completed,2016-07-15 09:08:50,2016-07-15 10:07:07,9,Friday,58.28333333333333
6690,Airport,5,Trip completed,2016-07-15 22:41:41,2016-07-15 23:51:00,22,Friday,69.31666666666666
1517,Airport,6,Trip completed,2016-07-12 05:45:00,2016-07-12 06:28:00,5,Tuesday,43.0
1999,Airport,6,Trip completed,2016-07-12 13:02:00,2016-07-12 13:51:00,13,Tuesday,49.0
2960,Airport,6,Trip completed,2016-07-13 06:50:33,2016-07-13 07:40:35,6,Wednesday,50.03333333333333
3882,City,6,Trip completed,2016-07-13 21:53:03,2016-07-13 22:45:24,21,Wednesday,52.35
4081,Airport,6,Trip completed,2016-07-14 02:37:14,2016-07-14 03:30:27,2,Thursday,53.21666666666667
4740,City,6,Trip completed,2016-07-14 14:50:07,2016-07-14 15:38:14,14,Thursday,48.11666666666667
5270,City,6,Trip completed,2016-07-14 21:33:55,2016-07-14 22:25:43,21,Thursday,51.8
6758,Airport,6,Trip completed,2016-07-15 00:03:39,2016-07-15 01:07:39,0,Friday,64.0
5741,City,6,Trip completed,2016-07-15 07:52:51,2016-07-15 08:38:55,7,Friday,46.06666666666667
6087,Airport,6,Trip completed,2016-07-15 14:28:50,2016-07-15 15:33:53,14,Friday,65.05
1039,City,7,Trip completed,2016-07-11 19:31:00,2016-07-11 20:41:00,19,Monday,70.0
1273,Airport,7,Trip completed,2016-07-11 22:07:00,2016-07-11 23:12:00,22,Monday,65.0
2480,City,7,Trip completed,2016-07-12 20:39:00,2016-07-12 21:28:00,20,Tuesday,49.0
4105,City,7,Trip completed,2016-07-14 03:39:38,2016-07-14 04:39:04,3,Thursday,59.43333333333333
4509,City,7,Trip completed,2016-07-14 09:11:13,2016-07-14 10:17:01,9,Thursday,65.8
4986,Airport,7,Trip completed,2016-07-14 18:52:32,2016-07-14 19:50:57,18,Thursday,58.416666666666664
5898,City,7,Trip completed,2016-07-15 09:50:28,2016-07-15 10:40:39,9,Friday,50.18333333333333
6142,Airport,7,Trip completed,2016-07-15 15:50:15,2016-07-15 16:36:56,15,Friday,46.68333333333333
380,Airport,8,Trip completed,2016-07-11 08:18:00,2016-07-11 09:18:00,8,Monday,60.0
1050,Airport,8,Trip completed,2016-07-11 19:39:00,2016-07-11 20:30:00,19,Monday,51.0
1769,City,8,Trip completed,2016-07-12 08:57:00,2016-07-12 09:24:00,8,Tuesday,27.0
2520,City,8,Trip completed,2016-07-12 21:05:00,2016-07-12 22:20:00,21,Tuesday,75.0
3265,Airport,8,Trip completed,2016-07-13 10:22:07,2016-07-13 11:07:02,10,Wednesday,44.916666666666664
4648,City,8,Trip completed,2016-07-14 11:55:10,2016-07-14 12:59:34,11,Thursday,64.4
449,Airport,9,Trip completed,2016-07-11 09:08:00,2016-07-11 09:52:00,9,Monday,44.0
846,Airport,9,Trip completed,2016-07-11 17:46:00,2016-07-11 18:52:00,17,Monday,66.0
1346,Airport,9,Trip completed,2016-07-11 23:39:00,2016-07-12 00:23:00,23,Monday,44.0
1474,Airport,9,Trip completed,2016-07-12 05:13:00,2016-07-12 05:56:00,5,Tuesday,43.0
2240,City,9,Trip completed,2016-07-12 18:20:00,2016-07-12 18:54:00,18,Tuesday,34.0
3072,Airport,9,Trip completed,2016-07-13 08:04:57,2016-07-13 08:36:37,8,Wednesday,31.666666666666668
3459,Airport,9,Trip completed,2016-07-13 17:03:30,2016-07-13 17:31:49,17,Wednesday,28.316666666666666
3774,Airport,9,Trip completed,2016-07-13 20:41:24,2016-07-13 21:27:29,20,Wednesday,46.083333333333336
4023,City,9,Trip completed,2016-07-13 23:58:41,2016-07-14 00:58:39,23,Wednesday,59.96666666666667
4117,City,9,Trip completed,2016-07-14 04:21:42,2016-07-14 05:07:07,4,Thursday,45.416666666666664
4880,Airport,9,Trip completed,2016-07-14 17:58:46,2016-07-14 19:02:42,17,Thursday,63.93333333333333
5568,Airport,9,Trip completed,2016-07-15 05:47:49,2016-07-15 06:25:49,5,Friday,38.0
5994,Airport,9,Trip completed,2016-07-15 11:51:16,2016-07-15 12:32:12,11,Friday,40.93333333333333
1809,Airport,10,Trip completed,2016-07-12 09:13:00,2016-07-12 10:01:00,9,Tuesday,48.0
2064,Airport,10,Trip completed,2016-07-12 15:08:00,2016-07-12 16:14:00,15,Tuesday,66.0
3210,City,10,Trip completed,2016-07-13 09:47:06,2016-07-13 10:52:37,9,Wednesday,65.51666666666667
4350,City,10,Trip completed,2016-07-14 07:24:43,2016-07-14 08:22:09,7,Thursday,57.43333333333333
4713,City,10,Trip completed,2016-07-14 13:31:24,2016-07-14 14:10:56,13,Thursday,39.53333333333333
5629,Airport,10,Trip completed,2016-07-15 06:33:00,2016-07-15 07:19:53,6,Friday,46.88333333333333
6157,Airport,10,Trip completed,2016-07-15 16:32:51,2016-07-15 17:44:44,16,Friday,71.88333333333334
2030,City,11,Trip completed,2016-07-12 14:11:00,2016-07-12 15:02:00,14,Tuesday,51.0
3226,City,11,Trip completed,2016-07-13 10:00:17,2016-07-13 11:02:52,10,Wednesday,62.583333333333336
3353,City,11,Trip completed,2016-07-13 13:29:44,2016-07-13 14:09:00,13,Wednesday,39.266666666666666
4293,City,11,Trip completed,2016-07-14 06:42:36,2016-07-14 07:12:41,6,Thursday,30.083333333333332
4936,City,11,Trip completed,2016-07-14 18:22:17,2016-07-14 19:14:36,18,Thursday,52.31666666666667
5661,Airport,11,Trip completed,2016-07-15 07:08:50,2016-07-15 07:59:00,7,Friday,50.166666666666664
5778,City,11,Trip completed,2016-07-15 08:22:03,2016-07-15 09:13:04,8,Friday,51.016666666666666
6425,Airport,11,Trip completed,2016-07-15 19:46:40,2016-07-15 20:26:51,19,Friday,40.18333333333333
45,Airport,12,Trip completed,2016-07-11 03:17:00,2016-07-11 04:09:00,3,Monday,52.0
264,City,12,Trip completed,2016-07-11 06:51:00,2016-07-11 07:40:00,6,Monday,49.0
1183,City,12,Trip completed,2016-07-11 21:05:00,2016-07-11 21:38:00,21,Monday,33.0
1536,Airport,12,Trip completed,2016-07-12 05:59:00,2016-07-12 06:59:00,5,Tuesday,60.0
2437,City,12,Trip completed,2016-07-12 20:18:00,2016-07-12 21:26:00,20,Tuesday,68.0
2641,Airport,12,Trip completed,2016-07-12 22:28:00,2016-07-12 23:05:00,22,Tuesday,37.0
4077,Airport,12,Trip completed,2016-07-14 02:14:15,2016-07-14 03:13:09,2,Thursday,58.9
4610,City,12,Trip completed,2016-07-14 10:35:14,2016-07-14 11:39:01,10,Thursday,63.78333333333333
5066,Airport,12,Trip completed,2016-07-14 19:31:20,2016-07-14 20:14:03,19,Thursday,42.71666666666667
5666,Airport,12,Trip completed,2016-07-15 07:04:55,2016-07-15 08:12:37,7,Friday,67.7
5923,City,12,Trip completed,2016-07-15 10:07:49,2016-07-15 10:50:50,10,Friday,43.016666666666666
6367,City,12,Trip completed,2016-07-15 19:04:46,2016-07-15 19:46:04,19,Friday,41.3
155,City,13,Trip completed,2016-07-11 05:32:00,2016-07-11 06:28:00,5,Monday,56.0
310,Airport,13,Trip completed,2016-07-11 07:24:00,2016-07-11 08:28:00,7,Monday,64.0
607,City,13,Trip completed,2016-07-11 11:51:00,2016-07-11 12:42:00,11,Monday,51.0
1012,City,13,Trip completed,2016-07-11 19:15:00,2016-07-11 19:57:00,19,Monday,42.0
1696,Airport,13,Trip completed,2016-07-12 08:01:00,2016-07-12 08:42:00,8,Tuesday,41.0
3076,City,13,Trip completed,2016-07-13 08:09:04,2016-07-13 09:12:19,8,Wednesday,63.25
4198,Airport,13,Trip completed,2016-07-14 05:32:14,2016-07-14 06:45:32,5,Thursday,73.3
4627,City,13,Trip completed,2016-07-14 11:13:19,2016-07-14 12:00:12,11,Thursday,46.88333333333333
5289,City,13,Trip completed,2016-07-14 21:43:24,2016-07-14 22:24:13,21,Thursday,40.81666666666667
5495,Airport,13,Trip completed,2016-07-15 05:00:13,2016-07-15 06:02:27,5,Friday,62.233333333333334
6656,Airport,13,Trip completed,2016-07-15 22:08:42,2016-07-15 22:41:18,22,Friday,32.6
139,Airport,14,Trip completed,2016-07-11 05:21:00,2016-07-11 06:09:00,5,Monday,48.0
215,City,14,Trip completed,2016-07-11 06:15:00,2016-07-11 07:07:00,6,Monday,52.0
1816,City,14,Trip completed,2016-07-12 09:24:00,2016-07-12 10:07:00,9,Tuesday,43.0
2505,Airport,14,Trip completed,2016-07-12 21:03:00,2016-07-12 22:14:00,21,Tuesday,71.0
3346,City,14,Trip completed,2016-07-13 13:01:42,2016-07-13 13:55:59,13,Wednesday,54.28333333333333
5294,City,14,Trip completed,2016-07-14 21:45:50,2016-07-14 22:16:40,21,Thursday,30.833333333333332
6226,Airport,14,Trip completed,2016-07-15 17:34:25,2016-07-15 18:33:13,17,Friday,58.8
6733,Airport,14,Trip completed,2016-07-15 23:32:44,2016-07-16 00:37:46,23,Friday,65.03333333333333
1027,Airport,15,Trip completed,2016-07-11 19:18:00,2016-07-11 20:24:00,19,Monday,66.0
2675,Airport,15,Trip completed,2016-07-12 23:43:00,2016-07-13 00:35:12,23,Tuesday,52.2
3200,City,15,Trip completed,2016-07-13 09:39:44,2016-07-13 10:30:58,9,Wednesday,51.233333333333334
3865,City,15,Trip completed,2016-07-13 21:52:05,2016-07-13 22:21:15,21,Wednesday,29.166666666666668
4468,City,15,Trip completed,2016-07-14 08:42:46,2016-07-14 09:22:01,8,Thursday,39.25
5163,Airport,15,Trip completed,2016-07-14 20:34:30,2016-07-14 21:05:18,20,Thursday,30.8
6009,City,15,Trip completed,2016-07-15 12:22:35,2016-07-15 13:25:27,12,Friday,62.86666666666667
6448,Airport,15,Trip completed,2016-07-15 20:02:54,2016-07-15 20:40:45,20,Friday,37.85
591,City,16,Trip completed,2016-07-11 11:25:00,2016-07-11 12:31:00,11,Monday,66.0
709,City,16,Trip completed,2016-07-11 14:16:00,2016-07-11 15:03:00,14,Monday,47.0
1167,Airport,16,Trip completed,2016-07-11 20:50:00,2016-07-11 21:52:00,20,Monday,62.0
2661,Airport,16,Trip completed,2016-07-12 23:23:00,2016-07-13 00:27:21,23,Tuesday,64.35
2808,City,16,Trip completed,2016-07-13 05:05:16,2016-07-13 05:56:11,5,Wednesday,50.916666666666664
3258,Airport,16,Trip completed,2016-07-13 10:12:51,2016-07-13 10:45:28,10,Wednesday,32.61666666666667
3413,Airport,16,Trip completed,2016-07-13 15:32:01,2016-07-13 16:45:44,15,Wednesday,73.71666666666667
3939,Airport,16,Trip completed,2016-07-13 22:26:26,2016-07-13 22:55:54,22,Wednesday,29.466666666666665
4125,City,16,Trip completed,2016-07-14 04:37:11,2016-07-14 05:46:29,4,Thursday,69.3
4457,City,16,Trip completed,2016-07-14 08:36:24,2016-07-14 09:19:20,8,Thursday,42.93333333333333
4728,City,16,Trip completed,2016-07-14 14:04:13,2016-07-14 15:06:40,14,Thursday,62.45
5347,Airport,16,Trip completed,2016-07-14 22:51:47,2016-07-14 23:53:42,22,Thursday,61.916666666666664
6147,City,16,Trip completed,2016-07-15 16:11:02,2016-07-15 17:30:08,16,Friday,79.1
6496,Airport,16,Trip completed,2016-07-15 20:33:00,2016-07-15 21:32:49,20,Friday,59.81666666666667
634,City,17,Trip completed,2016-07-11 12:25:00,2016-07-11 13:06:00,12,Monday,41.0
939,Airport,17,Trip completed,2016-07-11 18:25:00,2016-07-11 19:26:00,18,Monday,61.0
2628,Airport,17,Trip completed,2016-07-12 22:10:00,2016-07-12 23:25:00,22,Tuesday,75.0
3021,City,17,Trip completed,2016-07-13 07:33:20,2016-07-13 08:26:07,7,Wednesday,52.78333333333333
4743,City,17,Trip completed,2016-07-14 14:54:16,2016-07-14 15:39:03,14,Thursday,44.78333333333333
4981,City,17,Trip completed,2016-07-14 18:47:42,2016-07-14 19:43:44,18,Thursday,56.03333333333333
5367,Airport,17,Trip completed,2016-07-14 23:35:34,2016-07-15 00:25:26,23,Thursday,49.86666666666667
5471,Airport,17,Trip completed,2016-07-15 04:48:57,2016-07-15 05:47:13,4,Friday,58.266666666666666
5988,Airport,17,Trip completed,2016-07-15 11:48:32,2016-07-15 12:55:02,11,Friday,66.5
6477,Airport,17,Trip completed,2016-07-15 20:21:26,2016-07-15 21:00:31,20,Friday,39.083333333333336
499,City,18,Trip completed,2016-07-11 09:39:00,2016-07-11 10:16:00,9,Monday,37.0
1147,Airport,18,Trip completed,2016-07-11 20:42:00,2016-07-11 21:18:00,20,Monday,36.0
1410,Airport,18,Trip completed,2016-07-12 03:14:00,2016-07-12 04:27:00,3,Tuesday,73.0
1804,Airport,18,Trip completed,2016-07-12 09:12:00,2016-07-12 09:57:00,9,Tuesday,45.0
1949,Airport,18,Trip completed,2016-07-12 11:32:00,2016-07-12 12:13:00,11,Tuesday,41.0
2713,City,18,Trip completed,2016-07-13 01:46:42,2016-07-13 02:37:08,1,Wednesday,50.43333333333333
2845,City,18,Trip completed,2016-07-13 05:28:29,2016-07-13 06:10:40,5,Wednesday,42.18333333333333
3943,Airport,18,Trip completed,2016-07-13 22:35:38,2016-07-13 23:33:20,22,Wednesday,57.7
4792,City,18,Trip completed,2016-07-14 16:47:15,2016-07-14 17:34:39,16,Thursday,47.4
5207,Airport,18,Trip completed,2016-07-14 20:57:41,2016-07-14 21:56:21,20,Thursday,58.666666666666664
5890,City,18,Trip completed,2016-07-15 09:43:57,2016-07-15 10:55:22,9,Friday,71.41666666666667
494,City,19,Trip completed,2016-07-11 09:36:00,2016-07-11 10:02:00,9,Monday,26.0
1485,City,19,Trip completed,2016-07-12 05:21:00,2016-07-12 06:35:00,5,Tuesday,74.0
2042,City,19,Trip completed,2016-07-12 14:30:00,2016-07-12 15:09:00,14,Tuesday,39.0
2561,Airport,19,Trip completed,2016-07-12 21:29:00,2016-07-12 22:44:00,21,Tuesday,75.0
3813,Airport,19,Trip completed,2016-07-13 21:06:57,2016-07-13 21:46:24,21,Wednesday,39.45
4260,Airport,19,Trip completed,2016-07-14 06:11:51,2016-07-14 06:59:46,6,Thursday,47.916666666666664
4395,City,19,Trip completed,2016-07-14 08:00:15,2016-07-14 08:54:39,8,Thursday,54.4
5919,City,19,Trip completed,2016-07-15 10:03:42,2016-07-15 10:59:27,10,Friday,55.75
6002,Airport,19,Trip completed,2016-07-15 12:04:15,2016-07-15 12:53:36,12,Friday,49.35
468,City,20,Trip completed,2016-07-11 09:20:00,2016-07-11 10:05:00,9,Monday,45.0
693,Airport,20,Trip completed,2016-07-11 13:51:00,2016-07-11 15:01:00,13,Monday,70.0
1178,City,20,Trip completed,2016-07-11 21:05:00,2016-07-11 22:06:00,21,Monday,61.0
2103,City,20,Trip completed,2016-07-12 16:08:00,2016-07-12 17:18:00,16,Tuesday,70.0
2292,Airport,20,Trip completed,2016-07-12 18:46:00,2016-07-12 19:23:00,18,Tuesday,37.0
3339,City,20,Trip completed,2016-07-13 12:40:58,2016-07-13 13:30:26,12,Wednesday,49.46666666666667
3694,City,20,Trip completed,2016-07-13 19:33:19,2016-07-13 20:35:08,19,Wednesday,61.81666666666667
4469,City,20,Trip completed,2016-07-14 08:45:13,2016-07-14 09:48:08,8,Thursday,62.916666666666664
6432,City,20,Trip completed,2016-07-15 19:50:57,2016-07-15 20:30:05,19,Friday,39.13333333333333
1895,City,21,Trip completed,2016-07-12 10:20:00,2016-07-12 10:52:00,10,Tuesday,32.0
1981,Airport,21,Trip completed,2016-07-12 12:23:00,2016-07-12 12:56:00,12,Tuesday,33.0
3744,Airport,21,Trip completed,2016-07-13 20:28:11,2016-07-13 21:22:42,20,Wednesday,54.516666666666666
4433,Airport,21,Trip completed,2016-07-14 08:26:32,2016-07-14 09:12:02,8,Thursday,45.5
6039,Airport,21,Trip completed,2016-07-15 13:11:04,2016-07-15 13:38:01,13,Friday,26.95
6543,City,21,Trip completed,2016-07-15 20:54:20,2016-07-15 22:12:36,20,Friday,78.26666666666667
110,City,22,Trip completed,2016-07-11 05:05:00,2016-07-11 06:06:00,5,Monday,61.0
362,City,22,Trip completed,2016-07-11 08:01:00,2016-07-11 09:18:00,8,Monday,77.0
666,Airport,22,Trip completed,2016-07-11 13:02:00,2016-07-11 13:45:00,13,Monday,43.0
926,City,22,Trip completed,2016-07-11 18:28:00,2016-07-11 19:34:00,18,Monday,66.0
1180,Airport,22,Trip completed,2016-07-11 21:01:00,2016-07-11 22:14:00,21,Monday,73.0
1900,City,22,Trip completed,2016-07-12 10:32:00,2016-07-12 11:42:00,10,Tuesday,70.0
2506,City,22,Trip completed,2016-07-12 21:01:00,2016-07-12 21:38:00,21,Tuesday,37.0
3064,City,22,Trip completed,2016-07-13 08:02:03,2016-07-13 08:58:46,8,Wednesday,56.71666666666667
3327,Airport,22,Trip completed,2016-07-13 12:24:41,2016-07-13 13:23:39,12,Wednesday,58.96666666666667
3601,City,22,Trip completed,2016-07-13 18:39:00,2016-07-13 19:29:07,18,Wednesday,50.11666666666667
4768,Airport,22,Trip completed,2016-07-14 15:39:24,2016-07-14 16:49:03,15,Thursday,69.65
5142,City,22,Trip completed,2016-07-14 20:17:51,2016-07-14 20:48:58,20,Thursday,31.116666666666667
5366,Airport,22,Trip completed,2016-07-14 23:27:22,2016-07-15 00:19:50,23,Thursday,52.46666666666667
5575,City,22,Trip completed,2016-07-15 05:53:55,2016-07-15 06:50:02,5,Friday,56.11666666666667
5902,City,22,Trip completed,2016-07-15 09:52:57,2016-07-15 10:37:05,9,Friday,44.13333333333333
6694,Airport,22,Trip completed,2016-07-15 22:45:44,2016-07-15 23:17:53,22,Friday,32.15
523,Airport,23,Trip completed,2016-07-11 09:48:00,2016-07-11 10:37:00,9,Monday,49.0
747,City,23,Trip completed,2016-07-11 15:53:00,2016-07-11 16:43:00,15,Monday,50.0
1371,Airport,23,Trip completed,2016-07-12 00:22:00,2016-07-12 01:33:00,0,Tuesday,71.0
1553,City,23,Trip completed,2016-07-12 06:09:00,2016-07-12 07:09:00,6,Tuesday,60.0
1692,Airport,23,Trip completed,2016-07-12 07:52:00,2016-07-12 09:01:00,7,Tuesday,69.0
2114,City,23,Trip completed,2016-07-12 16:36:00,2016-07-12 17:21:00,16,Tuesday,45.0
2742,City,23,Trip completed,2016-07-13 03:07:37,2016-07-13 03:51:35,3,Wednesday,43.96666666666667
4273,City,23,Trip completed,2016-07-14 06:17:01,2016-07-14 07:02:28,6,Thursday,45.45
4668,City,23,Trip completed,2016-07-14 12:25:02,2016-07-14 13:34:58,12,Thursday,69.93333333333334
5425,City,23,Trip completed,2016-07-15 02:23:56,2016-07-15 03:08:35,2,Friday,44.65
5488,City,23,Trip completed,2016-07-15 04:53:42,2016-07-15 06:00:16,4,Friday,66.56666666666666
5781,City,23,Trip completed,2016-07-15 08:35:47,2016-07-15 09:42:27,8,Friday,66.66666666666667
5966,Airport,23,Trip completed,2016-07-15 10:54:27,2016-07-15 11:58:44,10,Friday,64.28333333333333
6122,City,23,Trip completed,2016-07-15 15:26:06,2016-07-15 16:29:40,15,Friday,63.56666666666667
357,Airport,24,Trip completed,2016-07-11 08:00:00,2016-07-11 09:08:00,8,Monday,68.0
1068,City,24,Trip completed,2016-07-11 19:52:00,2016-07-11 20:48:00,19,Monday,56.0
2689,Airport,24,Trip completed,2016-07-13 00:34:03,2016-07-13 01:49:08,0,Wednesday,75.08333333333333
2791,City,24,Trip completed,2016-07-13 04:56:20,2016-07-13 05:33:20,4,Wednesday,37.0
3321,City,24,Trip completed,2016-07-13 12:23:02,2016-07-13 13:25:14,12,Wednesday,62.2
3423,Airport,24,Trip completed,2016-07-13 15:52:07,2016-07-13 16:50:46,15,Wednesday,58.65
3761,Airport,24,Trip completed,2016-07-13 20:35:24,2016-07-13 21:39:02,20,Wednesday,63.63333333333333
4140,City,24,Trip completed,2016-07-14 04:48:09,2016-07-14 06:05:01,4,Thursday,76.86666666666666
4656,City,24,Trip completed,2016-07-14 12:06:27,2016-07-14 12:49:14,12,Thursday,42.78333333333333
4931,Airport,24,Trip completed,2016-07-14 18:21:52,2016-07-14 18:54:03,18,Thursday,32.18333333333333
5268,City,24,Trip completed,2016-07-14 21:29:35,2016-07-14 22:30:11,21,Thursday,60.6
5811,City,24,Trip completed,2016-07-15 08:46:30,2016-07-15 09:26:33,8,Friday,40.05
6139,Airport,24,Trip completed,2016-07-15 15:45:16,2016-07-15 16:40:41,15,Friday,55.416666666666664
6333,Airport,24,Trip completed,2016-07-15 18:41:22,2016-07-15 19:53:29,18,Friday,72.11666666666666
773,City,25,Trip completed,2016-07-11 16:23:00,2016-07-11 17:21:00,16,Monday,58.0
1123,City,25,Trip completed,2016-07-11 20:20:00,2016-07-11 21:18:00,20,Monday,58.0
2667,Airport,25,Trip completed,2016-07-12 23:35:00,2016-07-13 00:40:52,23,Tuesday,65.86666666666666
2833,City,25,Trip completed,2016-07-13 05:27:26,2016-07-13 06:19:18,5,Wednesday,51.86666666666667
3396,City,25,Trip completed,2016-07-13 14:59:08,2016-07-13 15:57:24,14,Wednesday,58.266666666666666
3590,City,25,Trip completed,2016-07-13 18:31:29,2016-07-13 19:31:56,18,Wednesday,60.45
3762,City,25,Trip completed,2016-07-13 20:38:10,2016-07-13 21:21:24,20,Wednesday,43.233333333333334
4566,City,25,Trip completed,2016-07-14 09:48:56,2016-07-14 10:22:52,9,Thursday,33.93333333333333
4862,City,25,Trip completed,2016-07-14 17:37:44,2016-07-14 18:41:40,17,Thursday,63.93333333333333
5564,Airport,25,Trip completed,2016-07-15 05:41:11,2016-07-15 06:53:22,5,Friday,72.18333333333334
6187,City,25,Trip completed,2016-07-15 17:11:08,2016-07-15 18:08:11,17,Friday,57.05
6642,City,25,Trip completed,2016-07-15 22:07:14,2016-07-15 22:54:02,22,Friday,46.8
322,City,26,Trip completed,2016-07-11 07:31:00,2016-07-11 08:10:00,7,Monday,39.0
793,City,26,Trip completed,2016-07-11 17:04:00,2016-07-11 18:06:00,17,Monday,62.0
898,Airport,26,Trip completed,2016-07-11 18:14:00,2016-07-11 19:09:00,18,Monday,55.0
1258,City,26,Trip completed,2016-07-11 21:51:00,2016-07-11 23:00:00,21,Monday,69.0
2832,City,26,Trip completed,2016-07-13 05:20:16,2016-07-13 06:14:07,5,Wednesday,53.85
3139,City,26,Trip completed,2016-07-13 08:54:04,2016-07-13 09:22:42,8,Wednesday,28.633333333333333
3438,City,26,Trip completed,2016-07-13 16:12:53,2016-07-13 17:13:44,16,Wednesday,60.85
3966,Airport,26,Trip completed,2016-07-13 22:50:42,2016-07-13 23:27:43,22,Wednesday,37.016666666666666
6401,Airport,26,Trip completed,2016-07-15 19:33:00,2016-07-15 20:16:57,19,Friday,43.95
